isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500
DE000A0WMPJ6,440.0,330.0,299.0,53.0,227100.0,35057.0,2110.11,203.65,8751.0,1341.7,1579.0,62.0,4.005606337231409,176088.0,10005.0,17487.0,87.0,AIXTRON,Germany,KPMG,Semiconductors,1775228997.9,2.0,6.275494195167869,4.706620646375902,22.52046666856833,0.8842741820463815,0.0571299075395985
DE000A0Z2ZZ5,363.0,669.0,519.0,39.0,320893.0,49194.0,1235.13,1679.42,11557.0,1363.6,2167.0,22.0,0.0,153824.0,4560.0,10260.0,76.0,freenet,Germany,KPMG,Telecommunication Services,3389785659.8,2.0,3.6894743261373337,6.799609708501037,22.02504370451681,0.22360450461438386,0.0
DE000A12DM80,393.0,357.0,289.0,50.0,206032.0,31250.0,1460.77,-248.01000000000008,7782.0,948.9,1058.0,29.0,0.1729297213546165,111320.0,2805.0,5775.0,55.0,Scout24,Germany,PwC,Internet Media & Services,6395763911.6,3.0,6.288,5.712,16.928,0.464,0.002766875541673864
DE000A1DAHH0,341.0,430.0,243.0,127.0,219218.0,33329.0,1371.86,346.04,8136.0,964.0,2030.0,49.0,0.0,123464.0,6283.0,9943.0,61.0,Brenntag,Germany,Deloitte,Chemicals,8651192623.0,3.0,5.115665036454739,6.450838609019172,30.453959014671906,0.735095562423115,0.0
"DE000A1EWWW0,1359,1781,918,297,696859,104031,4642.62,1095.37,28720,4030.5,3051,96,16.392122276585855,441232,30520.0,77826.0,218,adidas,Germany,PwC,""Apparel, Accessories & Footwear"",43768693984.0,5.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A1J5RX9,750.0,801.0,534.0,55.0,398791.0,59052.0,2778.4,-2035.65,14430.0,1479.7,1470.0,33.0,0.0,174064.0,3698.0,11008.0,86.0,Telefónica Deutschland,Germany,PwC,Telecommunication Services,6435651997.1,3.0,6.350335297703719,6.782158097947572,12.446657183499289,0.27941475309896363,0.0
DE000A1ML7J1,935.0,762.0,485.0,42.0,432828.0,66278.0,1910.38,1897.82,16464.0,1800.1,2378.0,6.0,0.0,218592.0,5616.0,17172.0,108.0,Vonovia,Germany,PwC,Real Estate,24975284642.0,4.0,7.053622619873864,5.7485138356619085,17.939587796855665,0.04526388846977881,0.0
DE000A2NB601,421.0,374.0,316.0,68.0,216400.0,33126.0,1093.68,1242.35,8579.0,1140.7,1195.0,43.0,0.0,129536.0,5568.0,9600.0,64.0,Jenoptik,Germany,EY,Hardware,1329635000.8,1.0,6.3545251464106745,5.645112600374329,18.037191330073057,0.6490370102034656,0.0
DE000A2YN900,279.0,218.0,230.0,52.0,153261.0,22594.0,1492.92,-871.22,6089.0,869.9,1393.0,38.0,0.0,107272.0,2332.0,5088.0,53.0,TeamViewer,Germany,PwC,Software & IT Services,1542241364.2,2.0,6.174205541294149,4.824289634416217,30.82676816854032,0.840931220678056,0.0
DE000BASF111,941.0,1108.0,673.0,446.0,607610.0,92128.0,3679.76,1573.65,24120.0,3025.1,2355.0,55.0,0.9140725162023036,366344.0,26607.0,59187.0,181.0,BASF,Germany,Deloitte,Chemicals,39230447570.0,5.0,5.1070250086835705,6.013372698853769,12.781130600903092,0.29849774227162207,0.004960883315616878
